"","PLAYER_NAME","CONTESTED_SHOTS","BLK","pct_blocked"
"1","Brook Lopez",1197,181,0.151211361737678
"2","Chet Holmgren",912,184,0.201754385964912
"3","Anthony Davis",826,176,0.213075060532688
"4","Rudy Gobert",794,151,0.190176322418136
"5","Nic Claxton",744,139,0.186827956989247
"6","Jarrett Allen",713,78,0.109396914446003
"7","Walker Kessler",668,154,0.230538922155689
"8","Ivica Zubac",660,80,0.121212121212121
"9","Myles Turner",659,138,0.209408194233687
"10","Kristaps Porzingis",658,109,0.16565349544073
"11","Daniel Gafford",627,147,0.23444976076555
"12","Victor Wembanyama",623,245,0.393258426966292
"13","Domantas Sabonis",620,48,0.0774193548387097
"14","Clint Capela",613,105,0.171288743882545
"15","Nikola Vucevic",601,58,0.0965058236272879
"16","Alperen Sengun",582,46,0.0790378006872852
"17","Zach Collins",578,48,0.0830449826989619
"18","Jaren Jackson Jr.",550,106,0.192727272727273
"19","Jusuf Nurkic",544,76,0.139705882352941
"20","Nikola Jokic",535,66,0.123364485981308
"21","Al Horford",523,60,0.11472275334608
"22","Dereck Lively II",523,77,0.147227533460803
"23","Precious Achiuwa",522,66,0.126436781609195
"24","Isaiah Hartenstein",519,78,0.15028901734104
"25","Paul Reed",518,81,0.156370656370656
"26","Jabari Smith Jr.",504,55,0.109126984126984
"27","Jonas Valanciunas",503,68,0.135188866799205
"28","Jeremy Sochan",491,40,0.0814663951120163
"29","Bogdan Bogdanovic",478,25,0.0523012552301255
"30","Evan Mobley",478,67,0.140167364016736
"31","Derrick White",470,86,0.182978723404255
"32","Jalen Duren",469,47,0.100213219616205
"33","Giannis Antetokounmpo",468,77,0.164529914529915
"34","Coby White",465,17,0.0365591397849462
"35","Jakob Poeltl",464,76,0.163793103448276
"36","Deni Avdija",458,34,0.074235807860262
"37","Miles Bridges",455,32,0.0703296703296703
"38","Bam Adebayo",451,64,0.141906873614191
"39","Deandre Ayton",449,41,0.0913140311804009
"40","Joel Embiid",449,63,0.140311804008909
"41","Paolo Banchero",449,46,0.102449888641425
"42","Aaron Nesmith",447,49,0.109619686800895
"43","Karl-Anthony Towns",447,40,0.0894854586129754
"44","P.J. Washington",446,58,0.130044843049327
"45","Herbert Jones",445,61,0.137078651685393
"46","Nick Richards",436,74,0.169724770642202
"47","John Collins",435,61,0.140229885057471
"48","Paul George",435,35,0.0804597701149425
"49","Shai Gilgeous-Alexander",434,64,0.147465437788018
"50","Draymond Green",433,45,0.103926096997691
"51","Onyeka Okongwu",433,60,0.138568129330254
"52","Isaiah Stewart",432,38,0.087962962962963
"53","Lauri Markkanen",427,26,0.0608899297423888
"54","Scottie Barnes",425,88,0.207058823529412
"55","Kevin Durant",423,88,0.208037825059102
"56","Naz Reid",419,70,0.167064439140811
"57","Harrison Barnes",413,11,0.026634382566586
"58","Pascal Siakam",413,23,0.0556900726392252
