"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"1","A.J. Lawson","28","6","10","0.222"
"2","AJ Green","21","0","2","0.25"
"3","AJ Griffin","9","0","2","0.25"
"4","Aaron Gordon","280","52","169","0.482"
"5","Aaron Holiday","297","14","139","0.47"
"6","Aaron Nesmith","294","52","198","0.507"
"7","Aaron Wiggins","197","22","103","0.563"
"8","Adam Flagler","1","0","0","0"
"9","Adama Sanogo","0","0","0","0"
"10","Admiral Schofield","4","0","2","0.333"
"11","Al Horford","55","2","24","0.524"
"12","Alec Burks","239","58","147","0.346"
"13","Aleksej Pokusevski","44","8","16","0.333"
"14","Alex Caruso","291","28","121","0.538"
"15","Alex Fudge","1","0","0","0"
"16","Alex Len","2","0","0","0"
"17","Alondes Williams","3","0","3","0.5"
"18","Alperen Sengun","457","78","346","0.556"
"19","Amari Bailey","4","2","3","0.5"
"20","Amen Thompson","259","30","108","0.472"
"21","Amir Coffey","114","6","66","0.536"
"22","Andre Drummond","35","0","32","0.552"
"23","Andre Jackson Jr.","22","2","6","0.5"
"24","Andrew Funk","1","0","0","0"
"25","Andrew Nembhard","544","24","249","0.533"
"26","Andrew Wiggins","298","58","193","0.48"
"27","Anfernee Simons","520","81","339","0.49"
"28","Anthony Black","140","26","58","0.357"
"29","Anthony Davis","276","72","209","0.431"
"30","Anthony Edwards","1062","228","780","0.535"
"31","Anthony Gill","39","10","33","0.684"
"32","Armoni Brooks","13","0","4","0.25"
"33","Ashton Hagans","121","12","44","0.425"
"34","Ausar Thompson","285","44","162","0.557"
"35","Austin Reaves","639","93","398","0.549"
"36","Ayo Dosunmu","521","36","260","0.569"
"37","Bam Adebayo","328","84","277","0.508"
"38","Ben Sheppard","55","0","14","0.318"
"39","Ben Simmons","52","3","15","0.333"
"40","Bennedict Mathurin","412","92","296","0.455"
"41","Bilal Coulibaly","236","32","112","0.417"
"42","Bismack Biyombo","11","0","6","0.5"
"43","Blake Wesley","224","38","79","0.448"
"44","Boban Marjanovic","0","0","0","0"
"45","Bobby Portis","151","18","125","0.505"
"46","Bogdan Bogdanovic","455","52","291","0.52"
