"","Player","Drives","FG%","Percent of Points from free throws"
"1","Saddiq Bey",247,"0.38",38.51
"2","Jimmy Butler",784,"0.435",36.34
"3","Alec Burks",239,"0.346",36.05
"4","Joel Embiid",309,"0.584",31.77
"5","Keyonte George",499,"0.42",30.77
"6","Blake Wesley",224,"0.448",30.38
"7","Paolo Banchero",931,"0.447",29.88
"8","GG Jackson",211,"0.466",29.58
"9","James Harden",727,"0.464",29.54
"10","Lauri Markkanen",247,"0.457",29.03
"11","Spencer Dinwiddie",510,"0.463",28.87
"12","DeMar DeRozan",1066,"0.555",27.79
"13","Shaedon Sharpe",234,"0.389",27.5
"14","Vince Williams Jr.",264,"0.442",27.45
"15","Bennedict Mathurin",412,"0.455",27.03
"16","Gordon Hayward",332,"0.427",26.97
"17","Grayson Allen",397,"0.479",26.88
"18","Collin Sexton",955,"0.517",25.92
"19","Luguentz Dort",309,"0.433",25.42
"20","Anthony Davis",276,"0.431",25.36
"21","Damian Lillard",873,"0.52",25.13
"22","Julius Randle",641,"0.502",25.13
"23","Trae Young",810,"0.451",25.11
"24","Chet Holmgren",495,"0.571",25
"25","Immanuel Quickley",609,"0.455",24.92
"26","Giannis Antetokounmpo",1076,"0.61",24.9
"27","Derrick White",448,"0.503",24.35
"28","Jayson Tatum",634,"0.574",24.19
"29","Jaden Ivey",755,"0.463",24.14
"30","Jalen Green",723,"0.465",24.1
"31","RJ Barrett",607,"0.467",23.89
"32","Anthony Edwards",1062,"0.535",23.85
"33","Andrew Wiggins",298,"0.48",23.83
"34","Kyle Lowry",284,"0.457",23.53
"35","Malik Monk",922,"0.469",23.35
"36","Stephen Curry",614,"0.504",23.22
"37","Zach LaVine",243,"0.534",22.92
"38","Jerami Grant",556,"0.433",22.87
"39","Bam Adebayo",328,"0.508",22.74
"40","Shai Gilgeous-Alexander",1675,"0.576",22.59
"41","Herbert Jones",225,"0.45",22.56
"42","Fred VanVleet",699,"0.427",22.33
"43","Aaron Nesmith",294,"0.507",22.22
