"","GROUP_SET","GROUP_ID","GROUP_NAME","TEAM_ID","TEAM_ABBREVIATION","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK"
"1","Lineups","-203484-203932-203999-1627750-1629008-","K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.","1610612743","DEN","45","35","10","0.778","895","124","125","111","111.5","13","13.5","0.643","2.65","21.4","0.314","0.751","0.541","0.117","0.595","0.625","98","97.37","81.14","1822","0.571","4","3","15162","4798","1","4373","8313","5375","6361","1780","4344","5430","6080","5232","8398","5226","5519","11166","5605"
"2","Lineups","-1628983-1629652-1630581-1631096-1631114-","S. Gilgeous-Alexander - L. Dort - J. Giddey - C. Holmgren - J. Williams","1610612760","OKC","61","44","17","0.721","782","118.3","118.8","109","109.5","9.4","9.4","0.642","2.63","21","0.216","0.698","0.473","0.111","0.584","0.613","104.1","103.62","86.35","1684","0.546","1","1","15223","5048","2","5335","8063","5732","6363","1783","4459","7184","7441","8355","8012","5363","5818","8349","5998"
"3","Lineups","-1627832-1628415-1630224-1630578-1631095-","F. VanVleet - D. Brooks - J. Green - A. Sengun - J. Smith Jr.","1610612745","HOU","45","23","22","0.511","754","110.8","112.2","111.7","111.7","-0.9","0.4","0.662","2.24","20","0.256","0.744","0.505","0.125","0.541","0.569","100.8","100.16","83.47","1570","0.499","4","18","15229","6027","3","6158","8324","6365","6246","2204","4683","6155","6833","5836","8966","6383","6928","10004","7147"
"4","Lineups","-203084-1627734-1628368-1628989-1631099-","H. Barnes - D. Sabonis - D. Fox - K. Huerter - K. Murray","1610612758","SAC","46","27","19","0.587","669","118.8","119.9","113.3","113.9","5.5","6.1","0.68","2.73","22.1","0.22","0.784","0.498","0.115","0.594","0.614","104","103.33","86.11","1436","0.515","3","10","15228","5901","4","5267","8593","6007","5208","1712","4053","7163","5794","8029","8347","5227","5812","8475","6589"
"5","Lineups","-201144-203497-1626157-1630162-1630183-","M. Conley - R. Gobert - K. Towns - A. Edwards - J. McDaniels","1610612750","MIN","43","30","13","0.698","610","116.5","118.9","109.3","109.7","7.2","9.1","0.619","1.82","19.6","0.285","0.734","0.526","0.15","0.583","0.617","98.3","97.11","80.93","1236","0.55","6","4","15210","5114","5","5333","8083","5741","6639","3471","5634","5913","6891","5570","9918","5536","5667","11264","5959"
"6","Lineups","-201950-204001-1627759-1628369-1628401-","J. Holiday - K. Porzingis - J. Brown - J. Tatum - D. White","1610612738","BOS","36","28","8","0.778","606","121.5","121.2","108.6","109.2","12.9","12","0.61","2.23","19.8","0.252","0.737","0.516","0.123","0.6","0.631","101.6","101.37","84.48","1282","0.568","15","7","15079","4798","6","4985","8048","5519","6707","2209","5588","6169","6864","5715","8561","5188","5270","9458","5646"
"7","Lineups","-201572-203081-203114-203507-1627736-","B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - M. Beasley","1610612749","MIL","39","25","14","0.641","599","122.3","122","106.9","106.9","15.5","15.1","0.619","2.44","20.3","0.241","0.756","0.523","0.115","0.604","0.63","104.2","104.32","86.94","1302","0.581","11","14","15213","5676","7","4924","7797","5262","6627","2013","4651","6904","6069","5616","8348","4971","5299","8001","5400"
"8","Lineups","-201935-202331-202695-1627826-1629611-","J. Harden - P. George - K. Leonard - I. Zubac - T. Mann","1610612746","LAC","41","28","13","0.683","593","119.1","119.5","109.5","109.5","9.7","10","0.625","2.08","19.7","0.293","0.724","0.522","0.134","0.581","0.613","94.8","94.64","78.86","1170","0.554","8","7","15210","5126","8","5281","8065","5697","6614","2308","5608","5677","7023","5644","9185","5546","5825","12161","5888"
"9","Lineups","-1626145-1628398-1629655-1629673-1630166-","T. Jones - K. Kuzma - D. Gafford - J. Poole - D. Avdija","1610612764","WAS","42","9","33","0.214","577","113.7","114.9","115","116","-1.3","-1.1","0.645","2.48","20.9","0.225","0.685","0.465","0.118","0.563","0.588","106","104.96","87.47","1249","0.493","7","159","15234","8542","9","5794","8879","8035","6317","1999","4485","7047","7576","8504","8472","5866","6458","7698","7193"
"10","Lineups","-201142-203078-203994-1626164-1628960-","K. Durant - B. Beal - J. Nurkic - D. Booker - G. Allen","1610612756","PHX","32","20","12","0.625","466","122.5","123.6","115.4","115","7","8.6","0.674","2.39","22.6","0.265","0.773","0.525","0.136","0.619","0.638","101.4","101.14","84.28","977","0.531","23","24","15201","5693","10","4744","8785","5781","5230","2047","3695","6088","5941","5574","9210","4759","5154","9559","6294"
